work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size,salary_range
2023,Senior-level,Full-time,Principal Data Scientist,85847,Spain,Remote,Spain,Large,50K–100K
2023,Mid-level,Contract,ML Engineer,30000,United States,Remote,United States,Small,25K-50K
2023,Mid-level,Contract,ML Engineer,25500,United States,Remote,United States,Small,25K-50K
2023,Senior-level,Full-time,Data Scientist,175000,Canada,Remote,Canada,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,120000,Canada,Remote,Canada,Medium,100K–150K
2023,Senior-level,Full-time,Applied Scientist,222200,United States,On-site,United States,Large,200K+
2023,Senior-level,Full-time,Applied Scientist,136000,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Data Scientist,219000,Canada,On-site,Canada,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,141000,Canada,On-site,Canada,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,147100,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Scientist,90700,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Analyst,130000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Analyst,100000,United States,Remote,United States,Medium,50K–100K
2023,Entry-level,Full-time,Applied Scientist,213660,United States,On-site,United States,Large,200K+
2023,Entry-level,Full-time,Applied Scientist,130760,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Data Modeler,147100,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Modeler,90700,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Data Scientist,170000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,150000,United States,On-site,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Analyst,150000,United States,Remote,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Analyst,110000,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Engineer,275000,Germany,On-site,Germany,Medium,200K+
2023,Senior-level,Full-time,Research Engineer,174000,Germany,On-site,Germany,Medium,150K–200K
2023,Senior-level,Full-time,Analytics Engineer,230000,United Kingdom,Remote,United Kingdom,Medium,200K+
2023,Senior-level,Full-time,Analytics Engineer,143200,United Kingdom,Remote,United Kingdom,Medium,100K–150K
2023,Senior-level,Full-time,Business Intelligence Engineer,225000,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Business Intelligence Engineer,156400,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Machine Learning Engineer,200000,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Machine Learning Engineer,130000,United States,On-site,United States,Medium,100K–150K
2023,Senior-level,Full-time,Data Strategist,90000,Canada,On-site,Canada,Medium,50K–100K
2023,Senior-level,Full-time,Data Strategist,72000,Canada,On-site,Canada,Medium,50K–100K
2023,Senior-level,Full-time,Data Engineer,253200,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,90700,United States,On-site,United States,Medium,50K–100K
2023,Senior-level,Full-time,Computer Vision Engineer,342810,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Computer Vision Engineer,184590,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,Data Engineer,162500,United States,On-site,United States,Medium,150K–200K
2023,Mid-level,Full-time,Data Engineer,130000,United States,On-site,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Analyst,105380,United States,On-site,United States,Medium,100K–150K
2023,Mid-level,Full-time,Data Analyst,64500,United States,On-site,United States,Medium,50K–100K
2023,Entry-level,Full-time,Data Quality Analyst,100000,Nigeria,Remote,Nigeria,Large,50K–100K
2023,Entry-level,Full-time,Compliance Data Analyst,30000,Nigeria,Remote,Nigeria,Large,25K-50K
2022,Mid-level,Full-time,Machine Learning Engineer,20984,India,Hybrid,India,Large,<25K
2023,Entry-level,Full-time,Applied Scientist,204620,United States,On-site,United States,Large,200K+
2023,Entry-level,Full-time,Applied Scientist,110680,United States,On-site,United States,Large,100K–150K
2023,Senior-level,Full-time,Data Engineer,270703,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,221484,United States,On-site,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,212750,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,185000,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,262000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,245000,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,275300,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,183500,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Scientist,218500,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Scientist,199098,United States,Remote,United States,Medium,150K–200K
2023,Senior-level,Full-time,Data Engineer,203300,United States,Remote,United States,Medium,200K+
2023,Senior-level,Full-time,Data Engineer,123600,United States,Remote,United States,Medium,100K–150K
2023,Senior-level,Full-time,Research Engineer,189110,United States,On-site,United States,Medium,150K–200K
2023,Senior-level,Full-time,Research Engineer,139000,United States,On-site,United States,Medium,100K–150K
2023,Executive-level,Full-time,Data Scientist,258750,United States,On-site,United States,Medium,200K+
2023,Executive-level,Full-time,Data Scientist,185000,United States,On-site,United States,Medium,150K–200K
